City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
6,Puerto Ayora,EC,74.59,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Metro,ID,78.22,-5.1131,105.3067,OYO 3177 Wisma Lintang
9,Atuona,PF,78.89,-9.8,-139.0333,Villa Enata
11,Hermanus,ZA,74.8,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Komsomolskiy,UZ,84.92,40.4272,71.7189,Ikathouse
16,Intipuca,SV,77.86,13.1969,-88.0544,Tropiclub Playa El Cuco
18,Butaritari,KI,81.75,3.0707,172.7902,Isles Sunset Lodge
24,Rikitea,PF,77.9,-23.1203,-134.9692,People ThankYou
25,Bredasdorp,ZA,70.61,-34.5322,20.0403,Bredasdorp Country Manor
32,Mahebourg,MU,79.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Victoria,HK,74.17,22.2855,114.1577,Mini Hotel Central
37,Hithadhoo,MV,83.53,-0.6,73.0833,Scoop Guest House
38,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
40,Namibe,AO,78.75,-15.1961,12.1522,Hotel Chik Chik Namibe
43,Iralaya,HN,77.14,15.0,-83.2333,Iglesia morava renovada
45,Mlonggo,ID,80.83,-6.5333,110.7,Asia Metal Art
47,Harper,LR,79.38,4.375,-7.7169,Screensaver
49,Basco,PH,77.13,20.4487,121.9702,Nathaniel's Lodge
56,Gat,IL,97.48,31.61,34.7642,OlusHome
64,Kapaa,US,69.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Avarua,CK,73.45,-21.2078,-159.775,Paradise Inn
66,Lata,PT,75.49,40.1629,-8.3327,Casa Maquia
68,Nouadhibou,MR,69.78,20.931,-17.0347,El Medina
69,Punta Umbria,ES,83.23,37.1821,-6.9661,Barceló Punta Umbría Beach Resort
70,Arraial Do Cabo,BR,75.16,-22.9661,-42.0278,Pousada Porto Praia
80,Lorengau,PG,81.41,-2.0226,147.2712,Lorengau Harbourside Hotel
81,Sao Filipe,CV,71.78,14.8961,-24.4956,Hotel Xaguate
82,Cape Town,ZA,76.1,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
83,Saint-Philippe,RE,83.21,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Sweetwater,US,80.02,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
90,Waingapu,ID,81.19,-9.6567,120.2641,Pondok Wisata Elim
93,Moroto,UG,77.18,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
94,Dingle,PH,77.97,10.9995,122.6711,SEGAYA PROPERTY
96,Kavieng,PG,83.66,-2.5744,150.7967,Nusa Island Retreat
97,East London,ZA,70.74,-33.0153,27.9116,Tu Casa
102,Port Elizabeth,ZA,70.32,-33.918,25.5701,39 On Nile Guest House
104,Itarema,BR,82.02,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
105,Maxixe,MZ,73.9,-23.8597,35.3472,Oceano
106,Atasu,KZ,77.0,48.6814,71.6433,Dostyk
112,Areia Branca,BR,88.0,-4.9561,-37.1369,Areia Branca Apart Hotel
117,Georgetown,MY,86.95,5.4112,100.3354,Cititel Penang
120,Mogadishu,SO,86.07,2.0371,45.3438,Hotel Juba
121,Carnarvon,AU,69.87,-24.8667,113.6333,Hospitality Carnarvon
123,Jatiwangi,ID,79.52,-6.7336,108.2628,jaf production
124,Jaca,ES,73.11,42.569,-0.5499,Hotel Real Jaca & Spa
125,Sakakah,SA,87.37,29.9697,40.2064,Fakhamat Al Orjoana Apartment
127,Alofi,NU,73.29,-19.0595,-169.9187,Taloa Heights
129,Dagshai,IN,78.53,30.8833,77.05,OYO 37264 Hotel Chiranjeev
133,Ugoofaaru,MV,84.61,5.6667,73.0,Ungoofaaru Inn
136,Aquidauana,BR,70.32,-20.4711,-55.7872,HOTEL ARARAS
140,Rockport,US,75.25,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
142,Tomohon,ID,70.74,1.3346,124.8392,Gardenia Country Inn
143,Noumea,NC,78.01,-22.2763,166.4572,Hôtel Le Lagon
148,Odweyne,SO,82.02,9.4092,45.064,Eng Hiirey House
149,Tura,IN,72.07,25.5198,90.2201,Hotel RIKMAN Continental
157,Hilo,US,74.28,19.7297,-155.09,Hilo Hawaiian Hotel
159,Coahuayana,MX,69.24,18.7333,-103.6833,El rranchito michuacan de ocampos
160,Souillac,MU,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
161,Saint Simons,US,71.64,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
162,Auki,SB,77.29,-8.7676,160.7034,Auki Motel
165,Acapulco,MX,71.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
173,Oyem,GA,82.4,1.5995,11.5793,Commissariat de police
175,Port Shepstone,ZA,69.96,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
181,Ocos,GT,75.38,14.5094,-92.1933,Auto Hotel El Soñador
183,Cabo San Lucas,MX,77.31,22.8909,-109.9124,Hotel Tesoro Los Cabos
185,Salalah,OM,87.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
186,Vao,NC,76.87,-22.6667,167.4833,Hotel Kou-Bugny
187,Passo De Camaragibe,BR,85.55,-9.2368,-35.4901,Chácara vovó candinha
195,Vanimo,PG,79.9,-2.6741,141.3028,Vahmoneh Lodge Vanimo
198,Bairiki,KI,78.8,1.3292,172.9752,Tarawa Boutique Hotel
202,Puerto Baquerizo Moreno,EC,73.89,-0.9,-89.6,Hotel los Algarrobos
207,San Patricio,US,75.18,28.017,-97.5169,"Motel 6 Sinton, TX"
