City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kerepehi,NZ,2022-04-17 02:50:12,-37.3,175.5333,71.35,61,100,11.52
1,Sorland,NO,2022-04-17 02:50:13,67.667,12.6934,42.21,95,100,22.91
2,Lompoc,US,2022-04-17 02:50:14,34.6391,-120.4579,58.57,81,0,14.0
3,Avarua,CK,2022-04-17 02:50:14,-21.2078,-159.775,82.45,74,75,10.36
4,Seymchan,RU,2022-04-17 02:50:14,62.8833,152.4333,23.61,82,99,4.56
5,Sur,OM,2022-04-17 02:50:15,22.5667,59.5289,89.22,34,23,4.76
6,Ponta Do Sol,PT,2022-04-17 02:50:16,32.6667,-17.1,70.43,43,100,8.46
7,Albany,US,2022-04-17 02:50:16,42.6001,-73.9662,38.64,94,80,3.29
8,Caravelas,BR,2022-04-17 02:48:07,-17.7125,-39.2481,77.4,71,100,11.07
9,Poum,NC,2022-04-17 02:50:17,-20.2333,164.0167,78.69,65,2,9.15
10,Vuktyl,RU,2022-04-17 02:50:17,63.8567,57.3094,18.86,81,56,2.62
11,Rikitea,PF,2022-04-17 02:48:56,-23.1203,-134.9692,78.73,67,25,13.51
12,Ushuaia,AR,2022-04-17 02:50:18,-54.8,-68.3,37.06,81,0,5.75
13,Chiquimula,GT,2022-04-17 02:50:19,14.8,-89.55,74.59,85,38,3.2
14,Port Elizabeth,ZA,2022-04-17 02:41:18,-33.918,25.5701,61.32,91,40,8.05
15,Provideniya,RU,2022-04-17 02:50:20,64.3833,-173.3,32.54,96,99,11.27
16,Victoria,HK,2022-04-17 02:50:13,22.2855,114.1577,74.25,74,99,11.01
17,Mar Del Plata,AR,2022-04-17 02:50:20,-38.0023,-57.5575,60.87,87,72,3.44
18,Punta Arenas,CL,2022-04-17 02:50:21,-53.15,-70.9167,46.51,81,40,14.97
19,Arandis,NA,2022-04-17 02:50:21,-22.4167,14.9667,65.17,49,81,2.73
20,Irbit,RU,2022-04-17 02:50:21,57.6705,63.071,31.37,77,71,9.86
21,Vao,NC,2022-04-17 02:50:22,-22.6667,167.4833,77.0,69,0,7.23
22,Srednekolymsk,RU,2022-04-17 02:50:22,67.45,153.6833,19.53,84,100,7.18
23,Torbay,CA,2022-04-17 02:43:31,47.6666,-52.7314,44.89,67,20,21.85
24,Teya,RU,2022-04-17 02:50:23,60.3778,92.6267,42.26,94,100,10.92
25,Barrow,US,2022-04-17 02:42:37,71.2906,-156.7887,8.62,72,0,18.41
26,Hobart,AU,2022-04-17 02:50:24,-42.8794,147.3294,76.26,50,0,16.11
27,Hermanus,ZA,2022-04-17 02:50:24,-34.4187,19.2345,55.8,84,5,13.33
28,Nikolskoye,RU,2022-04-17 02:50:25,59.7035,30.7861,32.88,82,50,2.75
29,Yellowknife,CA,2022-04-17 02:50:25,62.456,-114.3525,12.72,52,75,9.22
30,Hithadhoo,MV,2022-04-17 02:50:26,-0.6,73.0833,83.53,62,96,6.55
31,Bilibino,RU,2022-04-17 02:50:26,68.0546,166.4372,23.47,80,99,2.44
32,Atuona,PF,2022-04-17 02:50:27,-9.8,-139.0333,78.8,80,69,16.17
33,Marsa Matruh,EG,2022-04-17 02:50:27,31.3525,27.2453,71.8,33,0,11.5
34,Kashmor,PK,2022-04-17 02:50:28,28.4333,69.5833,90.36,10,42,9.89
35,Ormara,PK,2022-04-17 02:50:28,25.2088,64.6357,80.47,86,4,4.27
36,Vaini,TO,2022-04-17 02:50:29,-21.2,-175.2,84.36,79,75,5.75
37,Ulladulla,AU,2022-04-17 02:48:55,-35.35,150.4667,74.3,50,2,10.98
38,Makokou,GA,2022-04-17 02:50:29,0.5738,12.8642,70.32,95,22,1.16
39,Natal,BR,2022-04-17 02:41:48,-5.795,-35.2094,81.25,94,20,3.44
40,Geraldton,AU,2022-04-17 02:50:30,-28.7667,114.6,70.21,60,74,16.11
41,Cape Town,ZA,2022-04-17 02:46:24,-33.9258,18.4232,60.91,70,1,13.0
